Building,Type,Latitude,Longitude,Street Address 1,City,State,Postal Code,Full Address,Built,Acquired,Current Name,Wheelchair Accessible,Accessibility Notes,Notes
St. Joan of Arc Chapel,Churches/Chapels,43.0376262,-87.9310386,1421 W Wisconsin Ave,Milwaukee,WI,53233,"1421 W Wisconsin Ave, Milwaukee, WI 53233",1420,1964,,Yes,,"The St. Joan of Arc Chapel is the heart of the Marquette University campus. It is a place of community, especially in times of joy and sorrow. It has been the site of emotional candlelit vigils and of political protests. It draws people of all backgrounds and faiths. The Chapel hosts regular Masses that often test the capacity of the diminutive structure.

Beyond its role as a spiritual center the Chapel is an important focus of academic learning and discovery, featured in numerous classes and exhibitions. It has been used as a major art collecting and display center on campus, and still functions in that vein today.

The structure tells a story of Christian faith, of longing and suffering, and of the hope of real people through centuries; symbolized in the life of St. Joan of Arc. It is represented in the graffiti carved by pilgrims in the original Chapel stone, by the sacred art contained within, and it is expressed through the Marquette community members who have celebrated the Sacraments within for over 50 years.

Despite the immeasurable changes that have occurred outside its walls during the past 600 years, St. Joan of Arc Chapel still serves the same purpose its builders intended in 1420: It beats as the heart of the living, Catholic, Jesuit community that surrounds it."
The Commons,Student Living,43.0398031,-87.9345143,721 N 17th St,Milwaukee,WI,53233,"721 N 17th St, Milwaukee, WI 53233",2018,,2018,Yes,,Wells Street Hall opened in August 2018 as a part of the newest residence hall complex called The Commons. The building houses 472 first- and second-year students in pod style living. The building is coed by door with two resident assistants per floor to assist residents living in the community.
The Marq,Student Living,43.0391644,-87.9390715,2040 W Wisconsin Ave,Milwaukee,WI,53233,"2040 W Wisconsin Ave, Milwaukee, WI 53233",,,,,,"The Marq offers juniors, seniors, and graduate/professional students quality on-campus housing in upscale apartments.

Students can choose from a variety of floor plans, ranging from studio, one-, two-, three-, or four-bedroom units. Residents can relax in the community clubhouse - filled with comfortable chairs, study tables, and games - or in the outdoor courtyard.  Residents also have access to in-buiding workout facilities and local eateries."
Todd Wehr Chemistry,Academic,43.03700704,-87.93055022,1414 W Clybourn St,Milwaukee,WI,53233,"1414 W Clybourn St, Milwaukee, WI 53233",1966,,,Yes,Wheelchair accessible doors with door buttons located at the NE entrance of the building.,"Remodeled during the past decade, the Todd Wehr Chemistry Building is home to the Department of Chemistry. The building opened in 1966 and is named for C. Frederic (Todd) Wehr, chairman of the Wehr Steel Co."
Union Sports Annex,Art/Entertainment/Recreation,43.0404506,-87.9320345,804 N 16th St,Milwaukee,WI,53233,"804 N 16th St, Milwaukee, WI 53233",,,,,,"The Union Sports Annex is the premier entertainment facility in the heart of the Marquette University campus. The 24,000-square-foot complex includes a restaurant, bowling center and sport court."
Valley Fields,Art/Entertainment/Recreation,43.0317459,-87.9369735,1818 W Canal St,Milwaukee,WI,53233,"1818 W Canal St, Milwaukee, WI 53233",1993,,,,,"Marquette Valley Fields offers 13.5-acres of outdoor recreation and sports in the Menomonee River Valley, about 800 yards south of the Helfaer Tennis Stadium and Marquette Gym. Established in 1993, it serves as the home to the Golden Eagle soccer, lacrosse and track and field programs.

The complex includes a natural grass field with stadium seating, which was constructed in the fall of 2013. Just to the east of the stadium is a FieldTurf training facility that was constructed in 2006, which provides the men's and women's soccer and lacrosse programs the benefit of practicing on campus adjacent to the playing surface. The FieldTurf surface was replaced in the summer of 2015 with the FieldTurf Revolution 360 surface. "
Weasler Auditorium,Art/Entertainment/Recreation,43.0399451,-87.9318717,1506 W Wisconsin Ave,Milwaukee,WI,53233,"1506 W Wisconsin Ave, Milwaukee, WI 53233",,,,,,"The Weasler Auditorium is connected to the AMU via a covered walkway. The Weasler is a two level auditorium that hosts a variety of talks and performances throughout the semester. The Weasler Auditorium boasts a 32-foot stage, two dressing rooms, a coat room and a box office."
Wehr Life Sciences,Academic,43.03660319,-87.9311403,1428 W Clybourn St,Milwaukee,WI,53233,"1428 W Clybourn St, Milwaukee, WI 53233",1962,,,Yes,Wheelchair accessible doors with door buttons located at the east entrance of the building.,"The Wehr Life Sciences Building is home to Marquette’s Department of Biological Sciences. The five-story building has several classrooms, laboratories, faculty offices and a small auditorium. Wehr Life Sciences was completed in 1962 and honors the family of C. Frederick (Todd) Wehr, chairman of the Wehr Steel Co."
Wells Street Parking Structure,Parking Structures,43.0409435,-87.9283479,1240 W Wells St,Milwaukee,WI,53233,"1240 W Wells St, Milwaukee, WI 53233",,,,Yes,Wheelchair accessible doors with door buttons located at the south entrance of the building.,"Visitor parking is permitted here. Structure 1, located at 749 N. 16th Street, and Wells Street Structure, located at 1240 W. Wells St., have been designated the university’s visitor parking facilities. Parking is $5.00 on weekdays, $3.00 on Saturdays and Sundays. Rates may change for special events."
William Wehr Physics,Academic,43.03715604,-87.93116713,1420 W Clybourn St,Milwaukee,WI,53233,"1420 W Clybourn St, Milwaukee, WI 53233",1973,,,Yes,Wheelchair accessible doors with door buttons located at the SW entrance of the building.,"The four-level Wehr Physics Building is home to Marquette’s Physics Department and Political Science Department and features classrooms, lecture halls, faculty offices and laboratories. Completed in 1973, the building is named for William Wehr, brother of the benefactor C. Frederic (Todd) Wehr, chairman of the Wehr Steel Co."
Zilber Hall,Administrative,43.0389659,-87.9280415,1250 W Wisconsin Ave,Milwaukee,WI,53233,"1250 W Wisconsin Ave, Milwaukee, WI 53233",2009,,,Yes,Wheelchair accessible doors with door buttons located at the SE and SW corners of the building and on the north side of the building facing Lot F.,"Zilber Hall brings Marquette’s student services and administrative offices under one roof. Marquette Central combines the offices of the Bursar, Registrar and Student Financial Aid into a common service center on the first floor. Zilber Hall is also home to Undergraduate Admissions and a dozen administrative offices, including the Office of the President. Finished in late 2009, the building is named for Milwaukee real estate developer and philanthropist Joseph Zilber, Bus Ad '39, Law '41, and his wife, Vera."
